artist,hottness
The Tea Party,0.554927
Anthony Phillips,0.512025
Toxic Holocaust,0.595125
Bebeto,0.514396
Fates Warning,0.554467
Widowmaker,0.423129
Equilibrium,0.613319
Patricia Barber,0.571903
Sabrina,0.745374
Sleeze Beez,0.482194
Nifelheim,0.540061
Juston Stens and the Get Real Gang,0.308763
David Wise,0.514717
Marduk,0.607542
Rodriguez,0.628164
Foxes,0.643095
Hellogoodbye,0.589646
Cinderella,0.590176
Sérgio Sampaio,0.4949
KMFDM,0.607891
Strawberry Alarm Clock,0.508297
Armin van Buuren,0.865644
Lady,0.565116
Kult,0.621494
로이킴 (Roy Kim),0.675623
Leprous,0.594295
Beyoncé,0.913154
Wuthering Heights,0.520833
Julia Sawicka Project,0.305486
Porcupine Tree,0.682822
Clannad,0.605945
SuidAkrA,0.565585
Cryptic Slaughter,0.557006
Nocturnal Rites,0.562692
Assassin,0.564389
Onirophagus,0.3646
Amethystium,0.579654
Genialistid,0.345792
Thrice,0.626284
Disavowed,0.459822
Lipstixx 'n' Bulletz,0.409834
The Pigeon Detectives,0.587219
Prince & The Revolution,0.635369
Alejandro Jodorowsky,0.574986
La Coka Nostra,0.609367
Michael Schenker Group,0.595533
Crass,0.570114
Blade Runner,0.352028
Honeymoon Suite,0.523881
Living Legends,0.580172
Roger Hodgson,0.590717
The Wave Pictures,0.569683
Hammock,0.606153
Grace Slick & The Great Society,0.38517
Asaf Avidan,0.777762
Kool & the Gang,0.670565
Little River Band,0.678659
Eternal Deformity,0.371505
Nero,0.783686
Israel Kamakawiwo'ole,0.712726
Stratovarius,0.70235
Ramin Djawadi,0.684661
pg.lost,0.595044
Over the Rhine,0.574489
Beeshop,0.483625
Céu,0.614001
Iron Maiden,0.760998
Eric Burdon,0.600219
Ricky Nelson,0.448754
Joan Baez,0.625402
Black Flag,0.63297
Les Discrets,0.578251
How to Dress Well,0.621811
Georges Bizet,0.626441
Steeler,0.463718
Elmore James,0.588815
PerroZompopo,0.494692
Turbonegro,0.602709
Orchid,0.567189
Backwater,0.363478
Doris Day,0.603183
Guardian,0.513818
Karl Seglem,0.459807
Beth Gibbons & Rustin Man,0.437611
Serenity,0.543267
Bjørn Alterhaug,0.370698
The Go,0.568612
Protector,0.460478
Joe Jonas,0.608908
Chancho En Piedra,0.591168
Megadriver,0.43983
Andra Dare,0.351698
Baustelle,0.582215
Dead Fish,0.570254
311,0.639093
Milow,0.58897
Los Rodríguez,0.607463
Pallbearer,0.603747
ZOE,0.750199
Cosmic Gate,0.620137
Savant,0.635139
Breton,0.56793
Jason Isbell,0.619472
Kiara Rocks,0.512445
Antoine Clamaran,0.542475
Mayday Parade,0.650863
Andrea Bocelli,0.697166
Colour Haze,0.571925
Billy Cobham,0.578334
nanan,0.171843
Jungle Brothers,0.568903
Beastie Boys,0.687152
The Sundays,0.595177
Mercyful Fate,0.569356
Ratos de Porão,0.592457
VINILOVERSUS,0.522651
Two Door Cinema Club,0.795274
Big Brother & The Holding Company,0.657204
Vadrum,0.496269
Raphael,0.592021
The Dickies,0.558631
The Nightwatchman,0.500172
The Delta Jukes,0.269575
Kara,0.719873
Federico Aubele,0.562738
The Rascals,0.555241
L.A. Guns,0.610456
Moltheni,0.49672
Timo Tolkki,0.465391
The Last Shadow Puppets,0.619714
Vibrasphere,0.571823
Brandy,0.676274
Backyard Babies,0.583662
Three Dog Night,0.632516
Om,0.512963
Jelonek,0.567459
Avantasia,0.627668
I Kill Giants,0.532086
Will Champlin,0.49052
Phyllis Hyman,0.517373
OY,0.484411
Summers,0.401143
Hunter Hayes,0.630723
Thumlock,0.37851
布袋寅泰,0.684411
Chet Faker,0.859582
Faust'o,0.456539
Austin Peralta,0.505393
Brutal Knights,0.452881
Kids in Glass Houses,0.594805
Elffor,0.415093
Purity Ring,0.830282
Malicorne,0.503372
Todd Terje,0.743744
Nick Cave,0.593101
Black Light Burns,0.56623
The Who,0.690979
George Benson,0.630343
Garry Schyman,0.559812
Diego Torres,0.634516
Joan Jett,0.607227
Gazebo Penguins,0.560407
Royal Hunt,0.544104
I Ratti Della Sabina,0.457992
Suff Daddy,0.582232
Sadist,0.458292
Nachtmahr,0.567935
The Temperance Movement,0.702029
T.I./T.I.P.,0.089954
Charlie Parker & Miles Davis,0.479573
The National,0.806749
Body Count,0.573613
Noisettes,0.580085
Pet Shop Boys,0.645841
Officium Triste,0.479784
To/Die/For,0.494109
Uncle Acid & the Deadbeats,0.591879
Lonewolf,0.458351
Blondie,0.659676
Jim Morrison,0.582063
White Lies,0.618716
Capsula,0.508359
Lagwagon,0.611966
Django Reinhardt,0.595325
Ana Cañas,0.584752
Gidon Kremer: Kremerata Baltica,0.324031
Lee Foss,0.58185
The Saturdays,0.601032
Paul Oakenfold,0.614374
Friends,0.611005
Dean Evenson & Li Xiangting,0.496748
Haste the Day,0.588814
Lalah Hathaway,0.61501
Nadege Vacante,0.304933
TYR,0.598926
Basil Poledouris,0.562638
Georg Friedrich Händel,0.492894
Sam Sparro,0.599611
The Hobbit Shire,0.367957
Atlanta Rhythm Section,0.560956
Count Bass D,0.526172
Samhain,0.536725
Cibo Matto,0.582347
1349,0.592728
Cacumen,0.366003
16 Horsepower,0.573869
Freedom Call,0.597611
Lenine,0.605383
John Lennon,0.661204
Gisele De Santi,0.472348
He Is Legend,0.560684
This Town Needs Guns,0.595353
Ira!,0.70721
The Rifles,0.559191
Vienna Circle,0.424697
Invisible,0.533093
Mike Will Made-It,0.764138
Wavves,0.62261
Katie Herzig,0.574435
Modern English,0.57153
Hallucinogen,0.582095
Gold Panda,0.623303
Keel,0.506094
Le bugie di elisa,0.276922
Witch Cross,0.459834
Milton Jackson,0.515087
Brownsville Station,0.507788
Iluka,0.439392
Satyricon,0.61952
Johnny Marr,0.595102
Pallas,0.496598
Sevendust,0.625918
Kaledon,0.542761
P9,0.462633
Sandveiss,0.555675
Reverend Glasseye,0.487335
Lane 8,0.700635
Sleetgrout,0.505407
Vomitory,0.511875
Brant Bjork,0.562669
Azis,0.514159
Slipknot,0.764626
El Cuarteto De Nos,0.581713
Exhorder,0.505251
In This Moment,0.652281
Bethlehem,0.562395
Theme Songs,0.438289
The Black Belles,0.46269
