c3
1	hard rock	0.0262849366157	0.0320076461593
2	metal	0.0353421426891	0.0269367193604
3	heavy metal	0.0243915738439	0.0182296339117
4	glam metal	0.00264501255281	0.0182291531987
5	progressive metal	0.00525891178836	0.014804562258
6	rock	0.0962824650689	0.0144931163157
7	hair metal	0.00184017765911	0.0123966281396
8	80s	0.0214032401676	0.0112666533755
9	sleaze rock	0.000335555084758	0.00697550480207
10	classic rock	0.0114914289271	0.00645529141233

c35
1	latin	0.00513838740669	0.0293301482869
2	new age	0.00194580104574	0.0220061105709
3	reggae	0.00558287028972	0.0144199761658
4	classical	0.0064733918233	0.0131616479312
5	electronica	0.00841318669261	0.0110739047185
6	jazz	0.0131156968273	0.0104268332961
7	singer-songwriter	0.00890087896037	0.00975611800917
8	electronic	0.0175378001158	0.00890697536568
9	ambient	0.00681781392985	0.00870503433542
10	instrumental	0.00881568836637	0.00832994790601

c1
1	pop	0.0600139387734	0.055364116172
2	dance	0.0130514528626	0.0311106934134
3	latin	0.00513838740669	0.0291337409155
4	electropop	0.00363287495782	0.0174340095388
5	symphony	0.000548187414755	0.0169865348075
6	electronic	0.0175378001158	0.0155731480959
7	indie	0.0183070732028	0.0124366286728
8	electro	0.00365458382506	0.0106033751925
9	trance	0.00144095504641	0.00895021844
10	indie pop	0.00630297675791	0.00857449146977

c0
1	pop	0.0600139387734	0.023068327358
2	hip hop	0.0112946077851	0.0127528439357
3	folk	0.0142020782423	0.0125092156532
4	jazz	0.0131156968273	0.00925654001801
5	r&b	0.0089739452196	0.00835588111513
6	blues	0.0144644405706	0.00800131216141
7	country	0.00744572051689	0.00763579579091
8	dance	0.0130514528626	0.00724550876933
9	soul	0.0133912519826	0.00654874231119
10	rap	0.00821924274058	0.00603309773312

c11
1	metal	0.0353421426891	0.039247810164
2	heavy metal	0.0243915738439	0.0203803097754
3	folk metal	0.00190880065212	0.0171388052403
4	thrash metal	0.00864933197295	0.0163021247544
5	power metal	0.00631553986974	0.0109708191389
6	slavonic pagan metal	7.20610114922e-05	0.01015169114
7	female fronted metal	0.000549134460883	0.0098372003901
8	hard rock	0.0262849366157	0.00981012733457
9	rock	0.0962824650689	0.00812867608435
10	progressive metal	0.00525891178836	0.00797910720924

c14
1	pop	0.0600139387734	0.0419209324296
2	jazz	0.0131156968273	0.0131975327289
3	soul	0.0133912519826	0.0120980840184
4	dance	0.0130514528626	0.0112160767648
5	r&b	0.0089739452196	0.010977254306
6	italian pop	0.000559890083434	0.0107794706385
7	singer-songwriter	0.00890087896037	0.00902165465949
8	indie	0.0183070732028	0.00838965611995
9	soundtrack	0.0157092586532	0.00808004721088
10	indie rock	0.0131412105395	0.00700688634681

